Violation_ID,Frame_Number,Timestamp_Sec,Violation_Type,Rider_Confidence,Plate_Detected,Plate_Text,Plate_Confidence,Plate_Crop_Path,Rider_BBox,Plate_BBox
92,139,2.32,No_helmet,0.82,Yes,N/A,0.51,../results/plate_crops/frame000139_v0_plate.jpg,"[189.29612731933594, 132.5243377685547, 227.5022430419922, 171.67984008789062]","[222.4500274658203, 274.0379333496094, 258.7120361328125, 310.45892333984375]"
93,140,2.33,No_helmet,0.83,Yes,N/A,0.49,../results/plate_crops/frame000140_v0_plate.jpg,"[189.03355407714844, 134.89425659179688, 226.80422973632812, 173.8937530517578]","[219.9313201904297, 272.5946960449219, 256.7493896484375, 308.9578857421875]"
94,141,2.35,No_helmet,0.80,Yes,N/A,0.46,../results/plate_crops/frame000141_v0_plate.jpg,"[186.31991577148438, 134.10830688476562, 222.69894409179688, 172.126220703125]","[218.29615783691406, 272.6682434082031, 254.68043518066406, 308.11895751953125]"
95,142,2.37,No_helmet,0.81,Yes,N/A,0.43,../results/plate_crops/frame000142_v0_plate.jpg,"[184.303466796875, 134.26760864257812, 220.29644775390625, 172.2757110595703]","[217.3816375732422, 272.7510986328125, 252.7327117919922, 305.0931091308594]"
96,143,2.38,No_helmet,0.82,Yes,N/A,0.47,../results/plate_crops/frame000143_v0_plate.jpg,"[181.97047424316406, 134.41342163085938, 217.6603546142578, 171.7129669189453]","[215.07493591308594, 269.8672180175781, 251.6851043701172, 305.4250793457031]"
97,144,2.40,No_helmet,0.83,Yes,N/A,0.48,../results/plate_crops/frame000144_v0_plate.jpg,"[180.7240447998047, 134.43362426757812, 216.06549072265625, 171.42880249023438]","[213.48480224609375, 268.1651611328125, 249.88938903808594, 304.42547607421875]"
98,145,2.42,No_helmet,0.83,Yes,N/A,0.49,../results/plate_crops/frame000145_v0_plate.jpg,"[180.4332275390625, 136.43246459960938, 213.98838806152344, 171.28378295898438]","[212.2633514404297, 265.8223876953125, 246.8579559326172, 300.351318359375]"
99,146,2.43,No_helmet,0.84,Yes,N/A,0.44,../results/plate_crops/frame000146_v0_plate.jpg,"[179.0109405517578, 136.94126892089844, 212.68214416503906, 171.89500427246094]","[209.59022521972656, 265.7943420410156, 244.485107421875, 299.8148193359375]"
100,147,2.45,No_helmet,0.82,No,N/A,,,"[177.57208251953125, 137.1728057861328, 210.54806518554688, 171.5640106201172]",
101,148,2.47,No_helmet,0.79,No,N/A,,,"[174.7051544189453, 137.05824279785156, 209.19252014160156, 171.63880920410156]",
102,149,2.48,No_helmet,0.77,Yes,N/A,0.49,../results/plate_crops/frame000149_v0_plate.jpg,"[173.16123962402344, 136.0414276123047, 206.82528686523438, 170.62991333007812]","[206.22311401367188, 266.443115234375, 238.3921356201172, 297.1381530761719]"
103,150,2.50,No_helmet,0.75,Yes,N/A,0.47,../results/plate_crops/frame000150_v0_plate.jpg,"[171.38778686523438, 136.7381134033203, 203.33792114257812, 171.0843963623047]","[204.69313049316406, 265.02752685546875, 238.32534790039062, 296.75433349609375]"
104,151,2.52,No_helmet,0.65,No,N/A,,,"[169.7787628173828, 134.97796630859375, 202.22525024414062, 170.81256103515625]",
105,152,2.53,No_helmet,0.72,Yes,N/A,0.41,../results/plate_crops/frame000152_v0_plate.jpg,"[168.66285705566406, 135.36834716796875, 200.17233276367188, 169.4835205078125]","[202.44174194335938, 262.4178771972656, 231.57418823242188, 291.3641357421875]"
106,153,2.55,No_helmet,0.71,Yes,N/A,0.46,../results/plate_crops/frame000153_v0_plate.jpg,"[167.87200927734375, 136.60809326171875, 197.7659454345703, 169.4313201904297]","[198.78146362304688, 258.42401123046875, 231.66448974609375, 290.29241943359375]"
107,154,2.57,No_helmet,0.79,Yes,N/A,0.48,../results/plate_crops/frame000154_v0_plate.jpg,"[164.754150390625, 136.5552978515625, 193.77224731445312, 168.2357940673828]","[196.41249084472656, 260.4319763183594, 229.0205535888672, 291.82147216796875]"
108,155,2.58,No_helmet,0.79,Yes,N/A,0.56,../results/plate_crops/frame000155_v0_plate.jpg,"[162.61178588867188, 136.56556701660156, 191.7668914794922, 168.7957763671875]","[195.015380859375, 258.5782775878906, 228.19595336914062, 290.74041748046875]"
109,156,2.60,No_helmet,0.78,Yes,N/A,0.57,../results/plate_crops/frame000156_v0_plate.jpg,"[160.9127960205078, 136.8079071044922, 191.12603759765625, 169.5160675048828]","[193.2570037841797, 257.2025451660156, 227.49818420410156, 289.7949523925781]"
110,157,2.62,No_helmet,0.62,Yes,N/A,0.48,../results/plate_crops/frame000157_v0_plate.jpg,"[157.69754028320312, 136.1372833251953, 189.0851287841797, 169.44253540039062]","[192.6261749267578, 255.78054809570312, 224.46131896972656, 288.8821105957031]"
111,158,2.63,No_helmet,0.51,Yes,N/A,0.48,../results/plate_crops/frame000158_v0_plate.jpg,"[158.2659912109375, 138.0699005126953, 188.36940002441406, 169.5459747314453]","[191.11932373046875, 258.50213623046875, 220.12149047851562, 287.3155517578125]"
112,159,2.65,No_helmet,0.70,Yes,N/A,0.44,../results/plate_crops/frame000159_v0_plate.jpg,"[155.00770568847656, 136.9860382080078, 185.44729614257812, 167.7538604736328]","[188.36964416503906, 255.55426025390625, 218.29083251953125, 285.7741394042969]"
113,160,2.67,No_helmet,0.64,Yes,N/A,0.50,../results/plate_crops/frame000160_v0_plate.jpg,"[154.74200439453125, 136.9965057373047, 184.2090606689453, 167.7495574951172]","[187.00311279296875, 255.62188720703125, 217.06114196777344, 284.46221923828125]"
114,161,2.68,No_helmet,0.50,Yes,N/A,0.50,../results/plate_crops/frame000161_v0_plate.jpg,"[150.9446258544922, 137.58335876464844, 180.35372924804688, 168.02015686035156]","[184.71311950683594, 255.12872314453125, 216.29290771484375, 284.5317077636719]"
115,163,2.72,No_helmet,0.37,Yes,N/A,0.42,../results/plate_crops/frame000163_v0_plate.jpg,"[139.4188232421875, 139.28196716308594, 174.16522216796875, 170.21353149414062]","[182.44815063476562, 256.67071533203125, 210.52328491210938, 284.92974853515625]"
116,164,2.73,No_helmet,0.55,No,N/A,,,"[139.4738311767578, 138.537109375, 172.22946166992188, 169.2041778564453]",
117,165,2.75,No_helmet,0.67,Yes,N/A,0.40,../results/plate_crops/frame000165_v0_plate.jpg,"[138.78640747070312, 138.50262451171875, 170.3663787841797, 169.7671661376953]","[176.96719360351562, 253.28126525878906, 206.35726928710938, 280.9970703125]"
118,166,2.77,No_helmet,0.52,No,N/A,,,"[136.9710693359375, 138.4122314453125, 168.9374237060547, 170.04515075683594]",
119,167,2.78,No_helmet,0.30,No,N/A,,,"[136.70396423339844, 138.2136993408203, 166.71763610839844, 169.62098693847656]",
120,168,2.80,No_helmet,0.61,No,N/A,,,"[133.60496520996094, 138.62722778320312, 164.1603546142578, 169.46368408203125]",
121,169,2.82,No_helmet,0.60,No,N/A,,,"[132.15536499023438, 137.39889526367188, 162.47674560546875, 168.75083923339844]",
122,170,2.83,No_helmet,0.64,No,N/A,,,"[130.67947387695312, 137.77674865722656, 160.38768005371094, 168.74424743652344]",
123,172,2.87,No_helmet,0.68,No,N/A,,,"[125.34187316894531, 137.11660766601562, 153.85157775878906, 167.44285583496094]",
124,173,2.88,No_helmet,0.76,No,N/A,,,"[124.09675598144531, 137.0508270263672, 153.34913635253906, 167.24298095703125]",
125,174,2.90,No_helmet,0.70,No,N/A,,,"[120.22925567626953, 136.82089233398438, 150.13467407226562, 167.13929748535156]",
126,175,2.92,No_helmet,0.31,No,N/A,,,"[114.09407806396484, 123.72454071044922, 145.04815673828125, 164.80287170410156]",
127,181,3.02,No_helmet,0.30,No,N/A,,,"[104.14118194580078, 125.56962585449219, 137.02857971191406, 165.5876007080078]",
128,182,3.03,No_helmet,0.53,No,N/A,,,"[100.54042053222656, 128.4952392578125, 135.3907928466797, 165.97711181640625]",
129,183,3.05,No_helmet,0.61,No,N/A,,,"[96.88520812988281, 137.51522827148438, 127.1851577758789, 166.4773712158203]",
130,183,3.05,No_helmet,0.44,No,N/A,,,"[98.08780670166016, 127.63682556152344, 131.0064239501953, 164.860595703125]",
131,184,3.07,No_helmet,0.40,No,N/A,,,"[92.47074890136719, 133.35446166992188, 120.15081024169922, 165.66946411132812]",
132,185,3.08,No_helmet,0.55,No,N/A,,,"[90.6213150024414, 136.30233764648438, 119.48248291015625, 166.6410675048828]",
133,185,3.08,No_helmet,0.33,No,N/A,,,"[92.69161224365234, 129.8380889892578, 122.62189483642578, 165.19955444335938]",
134,186,3.10,No_helmet,0.60,No,N/A,,,"[89.20733642578125, 137.66807556152344, 118.61497497558594, 167.78285217285156]",
135,189,3.15,No_helmet,0.60,No,N/A,,,"[82.72125244140625, 139.2873077392578, 113.65107727050781, 169.0715789794922]",
136,190,3.17,No_helmet,0.76,No,N/A,,,"[79.93708801269531, 141.95498657226562, 111.4313735961914, 170.29246520996094]",
137,191,3.18,No_helmet,0.78,No,N/A,,,"[78.19275665283203, 143.2985382080078, 107.3957290649414, 170.8142852783203]",
138,192,3.20,No_helmet,0.77,No,N/A,,,"[74.62049102783203, 142.36590576171875, 105.1257553100586, 171.60939025878906]",
